best fit of each generation		avarage value of the fits on best half of the poulation
13.3222	15.6546	0.0498924
12.86	14.8226	0.0705463
12.6586	13.7185	0.0463715
12.2619	13.1993	0.0300787
11.3904	12.8589	0.0371298
11.018	12.3186	0.0399647
10.9454	11.7211	0.0370661
10.65	11.2216	0.0216418
10.65	11.0794	0.0166267
10.5258	10.9411	0.0159108
10.3567	10.8861	0.0182019
10.3567	10.9117	0.0254367
10.3567	10.7122	0.0186219
10.0602	10.5233	0.013289
10.0602	10.3586	0.0141256
10.0528	10.2658	0.0152597
9.91044	10.0739	0.0041712
9.64532	10.0303	0.00619507
9.61576	9.9604	0.0108529
9.52422	9.91942	0.0163084
9.52422	9.84375	0.019814
9.39484	9.67514	0.0128791
9.39484	9.62124	0.012531
9.33445	9.55789	0.0114486
9.33445	9.5375	0.0140292
9.24082	9.50131	0.0142628
9.24082	9.39343	0.00897078
9.17379	9.34555	0.00670468
9.1716	9.28534	0.00688604
8.93699	9.20544	0.00571715
8.84782	9.1812	0.0101595
8.84782	9.07646	0.0100937
8.76432	9.0337	0.0129182
8.74291	8.88684	0.00839153
8.61689	8.84506	0.00799752
8.54672	8.94574	0.0182808
8.54672	8.78804	0.0108628
8.43262	8.81715	0.0170904
8.36017	8.61284	0.0125444
8.10716	8.57091	0.0109715
8.10716	8.54587	0.0137384
8.10716	8.48841	0.0173448
8.00409	8.41095	0.0164966
7.94929	8.26844	0.0148703
7.94929	8.11559	0.0117892
7.84622	8.05468	0.00937393
7.70309	8.05355	0.014663
7.70309	7.96803	0.0120941
7.63764	7.8659	0.0104078
7.63764	7.85694	0.0123557
7.63764	7.78124	0.0107537
7.62667	7.72149	0.00815095
7.62667	7.78456	0.0140648
7.62667	7.69273	0.00773715
7.62667	7.67107	0.00715661
7.62667	7.70665	0.0106895
7.55573	7.68714	0.00864889
7.55573	7.66589	0.00699871
7.39161	7.61928	0.00544085
7.12985	7.56945	0.00726104
7.1259	7.48034	0.0118605
7.1259	7.4123	0.0158987
7.09195	7.33603	0.0145497
7.09195	7.19108	0.0100767
7.09195	7.29369	0.0175195
7.02707	7.16908	0.0108327
7.011	7.13489	0.00846638
6.78037	7.07171	0.00421671
6.71549	7.0214	0.00705089
6.70346	6.90143	0.0104739
6.57341	6.8197	0.00958885
6.57341	6.78791	0.0125723
6.43975	6.87181	0.0225793
6.43975	6.79692	0.020571
6.43114	6.77656	0.0221786
6.43114	6.54419	0.0101403
6.43114	6.45929	0.00336745
6.43114	6.4343	0.000409641
6.43114	6.44072	0.00174105
6.43114	6.44367	0.00235756
6.43114	6.44517	0.00232126
6.35665	6.43377	0.00122254
6.35665	6.42617	0.00215724
6.35665	6.41241	0.00401897
6.19215	6.38236	0.00312659
6.19215	6.33596	0.00502951
6.19215	6.30614	0.00680166
6.10495	6.27193	0.00690662
6.10495	6.35967	0.0174412
5.98629	6.27718	0.0131902
5.98629	6.28515	0.015277
5.98629	6.2201	0.014185
5.98629	6.13806	0.0130669
5.98629	6.14257	0.0152124
5.87606	6.09296	0.0136165
5.87606	6.13024	0.0157974
5.87606	6.00973	0.0068065
5.87606	5.94846	0.00497624
5.87606	5.90934	0.00365513
5.85049	5.87969	0.00133326
5.85049	5.89206	0.00299674
5.85049	5.89766	0.0041637
5.85049	5.98105	0.0153831
5.85049	5.87518	0.00341154
5.85049	5.9429	0.0126633
5.85049	5.87476	0.00451238
5.85049	5.85473	0.000830444
5.85049	5.85662	0.00161416
5.85049	5.9835	0.0168286
5.85049	5.93363	0.0109112
5.85049	5.9366	0.0118023
5.76505	5.97408	0.013389
5.76505	5.96862	0.0151838
5.64323	5.89412	0.0104615
5.64323	5.82322	0.00825865
5.64323	5.77845	0.00991409
5.64323	5.75715	0.0108346
5.64323	5.6897	0.00744124
5.64323	5.65867	0.00301557
5.64323	5.67614	0.0051429
5.64323	5.64788	0.00108134
5.64323	5.67175	0.00589105
5.64323	5.65067	0.00178259
5.64323	5.65542	0.00221944
5.64323	5.67308	0.00562851
5.64323	5.65587	0.00275289
5.64323	5.68121	0.0051335
5.64323	5.66936	0.0040525
5.41735	5.63872	0.00223617
5.41735	5.62913	0.00581943
5.23728	5.57795	0.00942574
5.23728	5.66216	0.0176835
5.23728	5.57336	0.0198736
5.23728	5.4046	0.017311
5.23728	5.27047	0.00509709
5.19788	5.23649	0.000389962
5.19788	5.23311	0.00119978
5.19788	5.31145	0.0112762
5.19788	5.31201	0.0130557
5.19788	5.28193	0.0121613
5.19788	5.291	0.011701
5.19788	5.24923	0.00790045
5.19788	5.26182	0.00910891
5.19788	5.29193	0.012376
5.19788	5.21513	0.00348169
5.19788	5.20973	0.00259338
5.19788	5.22997	0.00523716
5.19788	5.24532	0.00729199
5.19788	5.20926	0.0024573
5.19788	5.21603	0.00300981
5.19788	5.19788	6.28037e-17
5.19788	5.19853	0.000255275
5.19788	5.22473	0.00461141
5.19788	5.21261	0.00318267
5.19788	5.22142	0.00371337
5.19788	5.20302	0.00127101
5.19788	5.20122	0.00102184
5.19788	5.23202	0.00473074
5.19788	5.19803	7.23965e-05
5.19788	5.19788	6.28037e-17
5.19788	5.19858	0.00028035
5.19788	5.19788	6.28037e-17
5.19788	5.20091	0.00135239
5.19788	5.19788	6.28037e-17
5.19788	5.19803	7.23965e-05
5.19788	5.19788	6.28037e-17
5.19788	5.20153	0.00126444
5.19788	5.19877	0.000441433
5.19788	5.22244	0.00340754
5.19788	5.20371	0.00151485
5.19788	5.19788	6.28037e-17
